Book,Chapter,Verse,Text,Version
GEN,1,1,"In the beginning, when God created the universe,",GNBDC
GEN,1,2,"the earth was formless and desolate. The raging ocean that covered everything was engulfed in total darkness, and the Spirit of God",GNBDC
GEN,1,3,"Then God commanded, “Let there be light” — and light appeared.",GNBDC
GEN,1,4,"God was pleased with what he saw. Then he separated the light from the darkness,",GNBDC
GEN,1,5,and he named the light “Day” and the darkness “Night”. Evening passed and morning came — that was the first day.,GNBDC
GEN,1,8,He named the dome “Sky”. Evening passed and morning came — that was the second day.,GNBDC
GEN,1,9,"Then God commanded, “Let the water below the sky come together in one place, so that the land will appear” — and it was done.",GNBDC
GEN,1,10,"He named the land “Earth”, and the water which had come together he named “Sea”. And God was pleased with what he saw.",GNBDC
GEN,1,11,"Then he commanded, “Let the earth produce all kinds of plants, those that bear grain and those that bear fruit” — and it was done.",GNBDC
GEN,1,12,"So the earth produced all kinds of plants, and God was pleased with what he saw.",GNBDC
GEN,1,13,Evening passed and morning came — that was the third day.,GNBDC
GEN,1,14,"Then God commanded, “Let lights appear in the sky to separate day from night and to show the time when days, years, and religious festivals",GNBDC
GEN,1,15,they will shine in the sky to give light to the earth” — and it was done.,GNBDC
GEN,1,16,"So God made the two larger lights, the sun to rule over the day and the moon to rule over the night; he also made the stars.",GNBDC
GEN,1,17,"He placed the lights in the sky to shine on the earth,",GNBDC
GEN,1,18,"to rule over the day and the night, and to separate light from darkness. And God was pleased with what he saw.",GNBDC
GEN,1,19,Evening passed and morning came — that was the fourth day.,GNBDC
GEN,1,20,"Then God commanded, “Let the water be filled with many kinds of living beings, and let the air be filled with birds.”",GNBDC
GEN,1,21,"So God created the great sea monsters, all kinds of creatures that live in the water, and all kinds of birds. And God was pleased with what he saw.",GNBDC
GEN,1,22,"He blessed them all and told the creatures that live in the water to reproduce, and to fill the sea, and he told the birds to increase in number.",GNBDC
GEN,1,23,Evening passed and morning came — that was the fifth day.,GNBDC
GEN,1,24,"Then God commanded, “Let the earth produce all kinds of animal life: domestic and wild, large and small” — and it was done.",GNBDC
GEN,1,25,"So God made them all, and he was pleased with what he saw.",GNBDC
GEN,1,27,"So God created human beings, making them to be like himself. He created them male and female,",GNBDC
GEN,1,28,"blessed them, and said, “Have many children, so that your descendants will live all over the earth and bring it under their control. I am putting you in charge of the fish, the birds, and all the wild animals.",GNBDC
GEN,1,29,I have provided all kinds of grain and all kinds of fruit for you to eat;,GNBDC
GEN,1,30,but for all the wild animals and for all the birds I have provided grass and leafy plants for food” — and it was done.,GNBDC
GEN,1,31,"God looked at everything he had made, and he was very pleased. Evening passed and morning came — that was the sixth day.",GNBDC
GEN,2,1,And so the whole universe was completed.,GNBDC
GEN,2,2,By the seventh day God finished what he had been doing and stopped working.,GNBDC
GEN,2,3,"He blessed the seventh day and set it apart as a special day, because by that day he had completed his creation",GNBDC
GEN,2,4,And that is how the universe was created.,GNBDC
GEN,2,#,When the,GNBDC
GEN,2,5,"there were no plants on the earth and no seeds had sprouted, because he had not sent any rain, and there was no one to cultivate the land;",GNBDC
GEN,2,6,but water would come up from beneath the surface and water the ground.,GNBDC
GEN,2,8,Then the,GNBDC
GEN,2,9,He made all kinds of beautiful trees grow there and produce good fruit. In the middle of the garden stood the tree that gives life and the tree that gives knowledge of what is good and what is bad.,GNBDC
GEN,2,10,A stream flowed in Eden and watered the garden; beyond Eden it divided into four rivers.,GNBDC
GEN,2,11,The first river is the Pishon; it flows round the country of Havilah.,GNBDC
GEN,2,12,(Pure gold is found there and also rare perfume and precious stones.),GNBDC
GEN,2,13,The second river is the Gihon; it flows round the country of Cush.,GNBDC
GEN,2,14,"The third river is the Tigris, which flows east of Assyria, and the fourth river is the Euphrates.",GNBDC
GEN,2,15,Then the,GNBDC
GEN,2,16,"He said to him, “You may eat the fruit of any tree in the garden,",GNBDC
GEN,2,17,except the tree that gives knowledge of what is good and what is bad.,GNBDC
GEN,2,18,Then the,GNBDC
GEN,2,19,So he took some soil from the ground and formed all the animals and all the birds. Then he brought them to the man to see what he would name them; and that is how they all got their names.,GNBDC
GEN,2,20,So the man named all the birds and all the animals; but not one of them was a suitable companion to help him.,GNBDC
GEN,2,21,Then the,GNBDC
GEN,2,22,He formed a woman out of the rib and brought her to him.,GNBDC
GEN,2,23,"Then the man said,",GNBDC
GEN,2,?,"“At last, here is one of my own kind —",GNBDC
GEN,2,?,"Bone taken from my bone, and flesh from my flesh.",GNBDC
GEN,2,#,‘Woman’ is her name because she was taken out of man.”,GNBDC
GEN,2,25,"The man and the woman were both naked, but they were not embarrassed.",GNBDC
GEN,3,2,"“We may eat the fruit of any tree in the garden,” the woman answered,",GNBDC
GEN,3,3,"“except the tree in the middle of it. God told us not to eat the fruit of that tree or even touch it; if we do, we will die.”",GNBDC
GEN,3,4,"The snake replied, “That's not true; you will not die.",GNBDC
