Book,Chapter,Verse,Text,Version
RUT,1,1-2,"Long ago, in the days before Israel had a king, there was a famine in the land. So a man named Elimelech, who belonged to the clan of Ephrath and who lived in Bethlehem in Judah, went with his wife Naomi and their two sons Mahlon and Chilion to live for a while in the country of Moab. While they were living there,",GNBDC
RUT,1,3,"Elimelech died, and Naomi was left alone with her two sons,",GNBDC
RUT,1,4,"who married Moabite women, Orpah and Ruth. About ten years later",GNBDC
RUT,1,5,"Mahlon and Chilion also died, and Naomi was left all alone, without husband or sons.",GNBDC
RUT,1,6,Some time later Naomi heard that the,GNBDC
RUT,1,7,"They started out together to go back to Judah, but on the way",GNBDC
RUT,1,8,"she said to them, “Go back home and stay with your mothers. May the",GNBDC
RUT,1,9,And may the,GNBDC
RUT,1,?,So Naomi kissed them goodbye. But they started crying,GNBDC
RUT,1,10,"and said to her, “No! We will go with you to your people.”",GNBDC
RUT,1,11,"“You must go back, my daughters,” Naomi answered. “Why do you want to come with me? Do you think I could have sons again for you to marry?",GNBDC
RUT,1,12,"Go back home, for I am too old to get married again. Even if I thought there was still hope, and so got married tonight and had sons,",GNBDC
RUT,1,13,"would you wait until they had grown up? Would this keep you from marrying someone else? No, my daughters, you know that's impossible. The",GNBDC
RUT,1,14,"Again they started crying. Then Orpah kissed her mother-in-law goodbye and went back home,",GNBDC
RUT,1,15,"So Naomi said to her, “Ruth, your sister-in-law has gone back to her people and to her god.",GNBDC
RUT,1,16,"But Ruth answered, “Don't ask me to leave you! Let me go with you. Wherever you go, I will go; wherever you live, I will live. Your people will be my people, and your God will be my God.",GNBDC
RUT,1,17,"Wherever you die, I will die, and that is where I will be buried. May the",GNBDC
RUT,1,18,"When Naomi saw that Ruth was determined to go with her, she said nothing more.",GNBDC
RUT,1,19,"They went on until they came to Bethlehem. When they arrived, the whole town got excited, and the women there exclaimed, “Is this really Naomi?”",GNBDC
RUT,1,20,"“Don't call me Naomi,” she answered; “call me Marah,",GNBDC
RUT,1,21,"When I left here, I had plenty, but the",GNBDC
RUT,1,22,"This, then, was how Naomi came back from Moab with Ruth, her Moabite daughter-in-law. The barley harvest was just beginning when they arrived in Bethlehem.",GNBDC
RUT,2,1,"Naomi had a relative named Boaz, a rich and influential man who belonged to the family of her husband Elimelech.",GNBDC
RUT,2,2,"One day Ruth said to Naomi, “Let me go to the fields to gather the corn that the harvest workers leave. I am sure to find someone who will let me work with him.”",GNBDC
RUT,2,?,"Naomi answered, “Go ahead, my daughter.”",GNBDC
RUT,2,3,"So Ruth went out to the fields and walked behind the workers, picking up the corn which they left. It so happened that she was in a field that belonged to Boaz.",GNBDC
RUT,2,4,Some time later Boaz himself arrived from Bethlehem and greeted the workers. “The,GNBDC
RUT,2,?,“The,GNBDC
RUT,2,5,"Boaz asked the man in charge, “Who is that young woman?”",GNBDC
RUT,2,6,"The man answered, “She is the young woman from Moab who came back with Naomi.",GNBDC
RUT,2,7,She asked me to let her follow the workers and pick up the corn. She has been working since early morning and has just now stopped to rest for a while under the shelter.”,GNBDC
RUT,2,8,"Then Boaz said to Ruth, “Let me give you some advice. Don't pick up corn anywhere except in this field. Work with the women here;",GNBDC
